ms=64987 od=79.60 cd=79.60 mind=79.56 maxd=79.66 dh=79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60, sh=79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,
ms=65558 od=79.60 cd=79.60 mind=79.56 maxd=79.66 dh=79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60, sh=79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,
ms=66123 od=79.67 cd=79.67 mind=79.53 maxd=79.72 dh=79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58, sh=79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,
ms=66688 od=79.67 cd=79.67 mind=79.50 maxd=79.77 dh=79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60, sh=79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,
ms=67253 od=79.71 cd=79.71 mind=79.49 maxd=79.78 dh=79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60, sh=79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,
ms=67819 od=79.69 cd=79.69 mind=79.48 maxd=79.80 dh=79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60, sh=79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,
ms=68381 od=79.60 cd=79.60 mind=79.48 maxd=79.80 dh=79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63, sh=79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,
ms=68950 od=79.59 cd=79.59 mind=79.48 maxd=79.80 dh=79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63, sh=79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,
ms=69518 od=79.61 cd=79.61 mind=79.48 maxd=79.80 dh=79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63, sh=79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,79.63,
ms=70082 od=79.58 cd=79.58 mind=79.48 maxd=79.80 dh=79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60, sh=79.58,79.61,79.59,79.60,79.69,79.71,79.67,79.67,79.60,79.60,80.05,79.68,79.60,79.68,79.61,79.60,
